0418162044
Bag = 1 , Depth = 1835 , Pressure = 2.60153 , Temperature = 18.979
Bag = 2 , Depth = 1838 , Pressure = 2.60575 , Temperature = 19.1744
Bag = 3 , Depth = 1863 , Pressure = 2.64084 , Temperature = 21.3239
Bag = 4 , Depth = 1842 , Pressure = 2.61118 , Temperature = 21.4216
Bag = 5 , Depth = 1853 , Pressure = 2.62711 , Temperature = 20.7377
Bag = 6 , Depth = 1844 , Pressure = 2.61379 , Temperature = 21.1285
Bag = 7 , Depth = 1855 , Pressure = 2.62942 , Temperature = 20.9331
Bag = 8 , Depth = 1845 , Pressure = 2.61473 , Temperature = 21.5193
Bag = 9 , Depth = 1854 , Pressure = 2.62762 , Temperature = 24.3527
Bag = 10 , Depth = 1853 , Pressure = 2.62629 , Temperature = 20.9331
Bag = 11 , Depth = 1845 , Pressure = 2.6154 , Temperature = 20.9331
Bag = 12 , Depth = 1851 , Pressure = 2.62402 , Temperature = 20.8354
Bag = 13 , Depth = 1851 , Pressure = 2.62314 , Temperature = 20.8354
Bag = 14 , Depth = 1829 , Pressure = 2.5919 , Temperature = 20.4446
Bag = 15 , Depth = 1841 , Pressure = 2.60977 , Temperature = 20.7377
Bag = 16 , Depth = 1848 , Pressure = 2.6195 , Temperature = 21.0308
Bag = 17 , Depth = 1848 , Pressure = 2.61934 , Temperature = 20.2491
Bag = 18 , Depth = 1835 , Pressure = 2.60126 , Temperature = 21.0308
Bag = 19 , Depth = 1831 , Pressure = 2.596 , Temperature = 21.2262
Bag = 20 , Depth = 1852 , Pressure = 2.62497 , Temperature = 21.8124
Bag = 21 , Depth = 1858 , Pressure = 2.63312 , Temperature = 20.9331
Bag = 22 , Depth = 1840 , Pressure = 2.60769 , Temperature = 20.64
Bag = 23 , Depth = 1842 , Pressure = 2.61131 , Temperature = 20.8354
Bag = 24 , Depth = 1846 , Pressure = 2.61606 , Temperature = 22.2032
Bag = 25 , Depth = 1833 , Pressure = 2.59873 , Temperature = 20.8354
Bag = 26 , Depth = 1914 , Pressure = 2.71281 , Temperature = 21.148
Bag = 27 , Depth = 1846 , Pressure = 2.61603 , Temperature = 21.7147
Bag = 28 , Depth = 1844 , Pressure = 2.61345 , Temperature = 21.7147
Bag = 29 , Depth = 1839 , Pressure = 2.6074 , Temperature = 21.1285
Bag = 30 , Depth = 1854 , Pressure = 2.62827 , Temperature = 21.0308
Bag = 31 , Depth = 1847 , Pressure = 2.61803 , Temperature = 21.4216
Bag = 32 , Depth = 1854 , Pressure = 2.62795 , Temperature = 21.5193
Bag = 33 , Depth = 1834 , Pressure = 2.60012 , Temperature = 24.0596
Bag = 34 , Depth = 1844 , Pressure = 2.61414 , Temperature = 21.2262
Bag = 35 , Depth = 1860 , Pressure = 2.63624 , Temperature = 20.1514
Bag = 36 , Depth = 1851 , Pressure = 2.62335 , Temperature = 20.3468
Bag = 37 , Depth = 1834 , Pressure = 2.59928 , Temperature = 21.0308
Bag = 38 , Depth = 1854 , Pressure = 2.62747 , Temperature = 21.5193
Bag = 39 , Depth = 1847 , Pressure = 2.61774 , Temperature = 21.2262
Bag = 40 , Depth = 1835 , Pressure = 2.60117 , Temperature = 21.0308
Bag = 41 , Depth = 1833 , Pressure = 2.5989 , Temperature = 20.7377
Bag = 42 , Depth = 1839 , Pressure = 2.60672 , Temperature = 20.64
Bag = 43 , Depth = 1838 , Pressure = 2.60546 , Temperature = 21.2262
Bag = 44 , Depth = 1847 , Pressure = 2.61822 , Temperature = 20.4446
Bag = 45 , Depth = 1830 , Pressure = 2.59415 , Temperature = 20.2491
Bag = 46 , Depth = 1819 , Pressure = 2.5786 , Temperature = 20.64
Bag = 47 , Depth = 1850 , Pressure = 2.62238 , Temperature = 20.7377
Bag = 48 , Depth = 1844 , Pressure = 2.61446 , Temperature = 20.9331
Bag = 49 , Depth = 1838 , Pressure = 2.60468 , Temperature = 19.4675
Bag = 50 , Depth = 1848 , Pressure = 2.61975 , Temperature = 19.3698
