0417182848
Bag = 30 , Depth = 1793 , Pressure = 2.54225 , Temperature = 20.7377
Bag = 31 , Depth = 1781 , Pressure = 2.52443 , Temperature = 21.0308
Bag = 32 , Depth = 1788 , Pressure = 2.53508 , Temperature = 21.2262
Bag = 33 , Depth = 1799 , Pressure = 2.5494 , Temperature = 23.8642
Bag = 34 , Depth = 1779 , Pressure = 2.52211 , Temperature = 20.9331
Bag = 35 , Depth = 1796 , Pressure = 2.54644 , Temperature = 19.7606
Bag = 36 , Depth = 1790 , Pressure = 2.53677 , Temperature = 19.8583
Bag = 37 , Depth = 1789 , Pressure = 2.5359 , Temperature = 20.7377
Bag = 38 , Depth = 1784 , Pressure = 2.52924 , Temperature = 21.1285
Bag = 39 , Depth = 1790 , Pressure = 2.53744 , Temperature = 20.8354
Bag = 40 , Depth = 1797 , Pressure = 2.5469 , Temperature = 20.5423
Bag = 41 , Depth = 1788 , Pressure = 2.53483 , Temperature = 20.4446
Bag = 42 , Depth = 1800 , Pressure = 2.55205 , Temperature = 20.2491
Bag = 43 , Depth = 1777 , Pressure = 2.51831 , Temperature = 20.8354
Bag = 44 , Depth = 1790 , Pressure = 2.53731 , Temperature = 19.956
Bag = 45 , Depth = 1789 , Pressure = 2.53527 , Temperature = 19.8583
Bag = 46 , Depth = 1794 , Pressure = 2.54332 , Temperature = 20.2491
Bag = 47 , Depth = 1786 , Pressure = 2.53153 , Temperature = 20.2491
Bag = 48 , Depth = 1782 , Pressure = 2.52665 , Temperature = 20.3468
Bag = 49 , Depth = 1776 , Pressure = 2.51694 , Temperature = 19.0767
Bag = 50 , Depth = 1789 , Pressure = 2.53565 , Temperature = 18.979
0417182902
Bag = 1 , Depth = 1793 , Pressure = 2.54135 , Temperature = 18.4905
Bag = 2 , Depth = 1799 , Pressure = 2.54965 , Temperature = 18.7836
Bag = 3 , Depth = 1794 , Pressure = 2.54364 , Temperature = 20.9331
Bag = 4 , Depth = 1777 , Pressure = 2.5193 , Temperature = 21.0308
Bag = 5 , Depth = 1786 , Pressure = 2.53168 , Temperature = 20.4446
Bag = 6 , Depth = 1778 , Pressure = 2.5207 , Temperature = 20.8354
Bag = 7 , Depth = 1790 , Pressure = 2.53761 , Temperature = 20.5423
Bag = 8 , Depth = 1784 , Pressure = 2.52852 , Temperature = 21.1285
Bag = 9 , Depth = 1783 , Pressure = 2.52695 , Temperature = 24.3527
Bag = 10 , Depth = 1782 , Pressure = 2.52565 , Temperature = 20.64
Bag = 11 , Depth = 1782 , Pressure = 2.52602 , Temperature = 20.5423
Bag = 12 , Depth = 1782 , Pressure = 2.52617 , Temperature = 20.3468
Bag = 13 , Depth = 1779 , Pressure = 2.52106 , Temperature = 20.64
Bag = 14 , Depth = 1790 , Pressure = 2.53792 , Temperature = 20.2491
Bag = 15 , Depth = 1781 , Pressure = 2.52487 , Temperature = 20.3468
Bag = 16 , Depth = 1787 , Pressure = 2.53271 , Temperature = 20.5423
Bag = 17 , Depth = 1781 , Pressure = 2.52523 , Temperature = 20.2491
Bag = 18 , Depth = 1795 , Pressure = 2.54456 , Temperature = 21.0308
Bag = 19 , Depth = 1795 , Pressure = 2.54465 , Temperature = 21.0308
Bag = 20 , Depth = 1791 , Pressure = 2.53855 , Temperature = 21.4216
Bag = 21 , Depth = 1794 , Pressure = 2.54234 , Temperature = 20.9331
Bag = 22 , Depth = 1787 , Pressure = 2.53311 , Temperature = 20.3468
Bag = 23 , Depth = 1795 , Pressure = 2.54446 , Temperature = 20.5423
Bag = 24 , Depth = 1831 , Pressure = 2.59518 , Temperature = 21.7147
Bag = 25 , Depth = 1777 , Pressure = 2.51829 , Temperature = 20.5423
Bag = 26 , Depth = 1921 , Pressure = 2.72261 , Temperature = 20.9331
Bag = 27 , Depth = 1782 , Pressure = 2.52605 , Temperature = 21.3239
Bag = 28 , Depth = 1810 , Pressure = 2.56577 , Temperature = 21.3239
Bag = 29 , Depth = 1800 , Pressure = 2.55117 , Temperature = 20.8354
Bag = 30 , Depth = 1792 , Pressure = 2.54055 , Temperature = 20.7377
Bag = 31 , Depth = 1782 , Pressure = 2.52598 , Temperature = 21.0308
Bag = 32 , Depth = 1787 , Pressure = 2.53353 , Temperature = 21.2262
Bag = 33 , Depth = 1794 , Pressure = 2.54303 , Temperature = 23.8642
Bag = 34 , Depth = 1780 , Pressure = 2.52377 , Temperature = 20.9331
Bag = 35 , Depth = 1796 , Pressure = 2.54644 , Temperature = 19.6629
Bag = 36 , Depth = 1788 , Pressure = 2.53454 , Temperature = 19.8583
Bag = 37 , Depth = 1791 , Pressure = 2.53929 , Temperature = 20.7377
Bag = 38 , Depth = 1784 , Pressure = 2.52861 , Temperature = 21.1285
Bag = 39 , Depth = 1789 , Pressure = 2.53607 , Temperature = 20.8354
Bag = 40 , Depth = 1796 , Pressure = 2.54547 , Temperature = 20.4446
Bag = 41 , Depth = 1794 , Pressure = 2.54341 , Temperature = 20.4446
Bag = 42 , Depth = 1796 , Pressure = 2.54618 , Temperature = 20.2491
Bag = 43 , Depth = 1776 , Pressure = 2.5173 , Temperature = 20.8354
Bag = 44 , Depth = 1786 , Pressure = 2.53235 , Temperature = 19.956
Bag = 45 , Depth = 1787 , Pressure = 2.53252 , Temperature = 19.8583
Bag = 46 , Depth = 1795 , Pressure = 2.54417 , Temperature = 20.2491
Bag = 47 , Depth = 1786 , Pressure = 2.53176 , Temperature = 20.2491
Bag = 48 , Depth = 1784 , Pressure = 2.52928 , Temperature = 20.3468
Bag = 49 , Depth = 1776 , Pressure = 2.51724 , Temperature = 19.0767
Bag = 50 , Depth = 1792 , Pressure = 2.5403 , Temperature = 18.979
0417182909
Bag = 1 , Depth = 1793 , Pressure = 2.542 , Temperature = 18.4905
Bag = 2 , Depth = 1800 , Pressure = 2.55217 , Temperature = 18.7836
Bag = 3 , Depth = 1794 , Pressure = 2.54341 , Temperature = 20.9331
Bag = 4 , Depth = 1779 , Pressure = 2.52106 , Temperature = 21.0308
Bag = 5 , Depth = 1786 , Pressure = 2.53122 , Temperature = 20.4446
Bag = 6 , Depth = 1777 , Pressure = 2.51858 , Temperature = 20.8354
Bag = 7 , Depth = 1787 , Pressure = 2.53344 , Temperature = 20.5423
Bag = 8 , Depth = 1781 , Pressure = 2.52508 , Temperature = 21.1285
