0418161433
Bag = 1 , Depth = 1840 , Pressure = 2.60859 , Temperature = 18.979
Bag = 2 , Depth = 1839 , Pressure = 2.60723 , Temperature = 19.1744
Bag = 3 , Depth = 1861 , Pressure = 2.63746 , Temperature = 21.2262
Bag = 4 , Depth = 1842 , Pressure = 2.61048 , Temperature = 21.4216
Bag = 5 , Depth = 1851 , Pressure = 2.62388 , Temperature = 20.7377
Bag = 6 , Depth = 1841 , Pressure = 2.60956 , Temperature = 21.1285
Bag = 7 , Depth = 1855 , Pressure = 2.62947 , Temperature = 20.9331
Bag = 8 , Depth = 1847 , Pressure = 2.61776 , Temperature = 21.5144
Bag = 9 , Depth = 1855 , Pressure = 2.62943 , Temperature = 24.3527
Bag = 10 , Depth = 1850 , Pressure = 2.62217 , Temperature = 20.9331
Bag = 11 , Depth = 1843 , Pressure = 2.61294 , Temperature = 20.8354
Bag = 12 , Depth = 1850 , Pressure = 2.62177 , Temperature = 20.64
Bag = 13 , Depth = 1846 , Pressure = 2.61673 , Temperature = 20.9331
Bag = 14 , Depth = 1831 , Pressure = 2.59543 , Temperature = 20.5374
Bag = 15 , Depth = 1846 , Pressure = 2.61687 , Temperature = 20.7377
Bag = 16 , Depth = 1846 , Pressure = 2.61635 , Temperature = 20.9331
Bag = 17 , Depth = 1849 , Pressure = 2.62089 , Temperature = 20.3468
Bag = 18 , Depth = 1834 , Pressure = 2.59989 , Temperature = 21.1285
Bag = 19 , Depth = 1836 , Pressure = 2.60306 , Temperature = 21.3239
Bag = 20 , Depth = 1853 , Pressure = 2.62663 , Temperature = 21.7147
Bag = 21 , Depth = 1857 , Pressure = 2.63191 , Temperature = 21.0308
Bag = 22 , Depth = 1842 , Pressure = 2.61036 , Temperature = 20.64
Bag = 23 , Depth = 1841 , Pressure = 2.60988 , Temperature = 20.8354
Bag = 24 , Depth = 1847 , Pressure = 2.61795 , Temperature = 22.2032
Bag = 25 , Depth = 1836 , Pressure = 2.60187 , Temperature = 20.8354
Bag = 26 , Depth = 1914 , Pressure = 2.71269 , Temperature = 21.1285
Bag = 27 , Depth = 1846 , Pressure = 2.61654 , Temperature = 21.7147
Bag = 28 , Depth = 1843 , Pressure = 2.61311 , Temperature = 21.7147
Bag = 29 , Depth = 1837 , Pressure = 2.60452 , Temperature = 21.1285
Bag = 30 , Depth = 1858 , Pressure = 2.63357 , Temperature = 21.0308
Bag = 31 , Depth = 1848 , Pressure = 2.61992 , Temperature = 21.5193
Bag = 32 , Depth = 1856 , Pressure = 2.63144 , Temperature = 21.617
Bag = 33 , Depth = 1839 , Pressure = 2.60744 , Temperature = 24.0596
Bag = 34 , Depth = 1846 , Pressure = 2.61677 , Temperature = 21.3239
Bag = 35 , Depth = 1861 , Pressure = 2.6375 , Temperature = 20.2491
Bag = 36 , Depth = 1858 , Pressure = 2.63403 , Temperature = 20.2491
Bag = 37 , Depth = 1833 , Pressure = 2.59894 , Temperature = 21.0308
Bag = 38 , Depth = 1854 , Pressure = 2.62804 , Temperature = 21.5193
Bag = 39 , Depth = 1850 , Pressure = 2.62219 , Temperature = 21.2262
Bag = 40 , Depth = 1831 , Pressure = 2.59545 , Temperature = 20.9331
Bag = 41 , Depth = 1835 , Pressure = 2.60067 , Temperature = 20.7377
Bag = 42 , Depth = 1840 , Pressure = 2.60872 , Temperature = 20.64
Bag = 43 , Depth = 1838 , Pressure = 2.60468 , Temperature = 21.2262
Bag = 44 , Depth = 1849 , Pressure = 2.62036 , Temperature = 20.4446
Bag = 45 , Depth = 1832 , Pressure = 2.59678 , Temperature = 20.2491
Bag = 46 , Depth = 1819 , Pressure = 2.57809 , Temperature = 20.64
Bag = 47 , Depth = 1847 , Pressure = 2.61866 , Temperature = 20.64
Bag = 48 , Depth = 1846 , Pressure = 2.61727 , Temperature = 20.8354
Bag = 49 , Depth = 1833 , Pressure = 2.59766 , Temperature = 19.5652
Bag = 50 , Depth = 1843 , Pressure = 2.61309 , Temperature = 19.4675
