0418162517
Bag = 1 , Depth = 1837 , Pressure = 2.60452 , Temperature = 18.979
Bag = 2 , Depth = 1834 , Pressure = 2.59979 , Temperature = 19.1744
Bag = 3 , Depth = 1861 , Pressure = 2.63769 , Temperature = 21.3239
Bag = 4 , Depth = 1843 , Pressure = 2.61191 , Temperature = 21.4216
Bag = 5 , Depth = 1853 , Pressure = 2.62676 , Temperature = 20.7377
Bag = 6 , Depth = 1845 , Pressure = 2.61482 , Temperature = 21.1285
Bag = 7 , Depth = 1854 , Pressure = 2.6281 , Temperature = 20.9331
Bag = 8 , Depth = 1846 , Pressure = 2.61725 , Temperature = 21.5193
Bag = 9 , Depth = 1849 , Pressure = 2.62066 , Temperature = 24.3527
Bag = 10 , Depth = 1851 , Pressure = 2.6244 , Temperature = 20.9331
Bag = 11 , Depth = 1843 , Pressure = 2.61238 , Temperature = 20.9331
Bag = 12 , Depth = 1850 , Pressure = 2.62203 , Temperature = 20.7377
Bag = 13 , Depth = 1846 , Pressure = 2.61679 , Temperature = 20.8354
Bag = 14 , Depth = 1831 , Pressure = 2.59579 , Temperature = 20.4446
Bag = 15 , Depth = 1847 , Pressure = 2.61801 , Temperature = 20.7377
Bag = 16 , Depth = 1848 , Pressure = 2.61961 , Temperature = 21.0308
Bag = 17 , Depth = 1850 , Pressure = 2.62291 , Temperature = 20.2491
Bag = 18 , Depth = 1834 , Pressure = 2.5992 , Temperature = 21.0308
Bag = 19 , Depth = 1835 , Pressure = 2.6014 , Temperature = 21.3239
Bag = 20 , Depth = 1850 , Pressure = 2.6228 , Temperature = 21.8124
Bag = 21 , Depth = 1858 , Pressure = 2.63388 , Temperature = 20.9331
Bag = 22 , Depth = 1845 , Pressure = 2.61593 , Temperature = 20.64
Bag = 23 , Depth = 1842 , Pressure = 2.61065 , Temperature = 20.8354
Bag = 24 , Depth = 1847 , Pressure = 2.61824 , Temperature = 22.2032
Bag = 25 , Depth = 1833 , Pressure = 2.59867 , Temperature = 20.8354
Bag = 26 , Depth = 1913 , Pressure = 2.71218 , Temperature = 21.2262
Bag = 27 , Depth = 1845 , Pressure = 2.61528 , Temperature = 21.7147
Bag = 28 , Depth = 1843 , Pressure = 2.61244 , Temperature = 21.7147
Bag = 29 , Depth = 1840 , Pressure = 2.60775 , Temperature = 21.1285
Bag = 30 , Depth = 1859 , Pressure = 2.6356 , Temperature = 21.0308
Bag = 31 , Depth = 1848 , Pressure = 2.61992 , Temperature = 21.5193
Bag = 32 , Depth = 1855 , Pressure = 2.63012 , Temperature = 21.617
Bag = 33 , Depth = 1836 , Pressure = 2.60185 , Temperature = 24.0596
Bag = 34 , Depth = 1845 , Pressure = 2.61568 , Temperature = 21.2262
Bag = 35 , Depth = 1858 , Pressure = 2.63333 , Temperature = 20.2491
Bag = 36 , Depth = 1854 , Pressure = 2.62827 , Temperature = 20.3468
Bag = 37 , Depth = 1833 , Pressure = 2.59773 , Temperature = 21.0308
Bag = 38 , Depth = 1853 , Pressure = 2.62701 , Temperature = 21.5193
Bag = 39 , Depth = 1851 , Pressure = 2.62419 , Temperature = 21.2262
Bag = 40 , Depth = 1834 , Pressure = 2.59985 , Temperature = 20.9722
Bag = 41 , Depth = 1836 , Pressure = 2.60256 , Temperature = 20.8354
Bag = 42 , Depth = 1836 , Pressure = 2.60206 , Temperature = 20.64
Bag = 43 , Depth = 1838 , Pressure = 2.60546 , Temperature = 21.2262
Bag = 44 , Depth = 1850 , Pressure = 2.62224 , Temperature = 20.4446
Bag = 45 , Depth = 1830 , Pressure = 2.59369 , Temperature = 20.2491
Bag = 46 , Depth = 1819 , Pressure = 2.5782 , Temperature = 20.64
Bag = 47 , Depth = 1848 , Pressure = 2.6195 , Temperature = 20.7377
Bag = 48 , Depth = 1847 , Pressure = 2.61807 , Temperature = 20.9331
Bag = 49 , Depth = 1836 , Pressure = 2.60264 , Temperature = 19.5652
Bag = 50 , Depth = 1843 , Pressure = 2.61307 , Temperature = 19.4675
0418162522
Bag = 1 , Depth = 1839 , Pressure = 2.60641 , Temperature = 18.979
Bag = 2 , Depth = 1837 , Pressure = 2.60374 , Temperature = 19.1744
Bag = 3 , Depth = 1858 , Pressure = 2.63363 , Temperature = 21.3239
Bag = 4 , Depth = 1843 , Pressure = 2.61242 , Temperature = 21.5193
Bag = 5 , Depth = 1853 , Pressure = 2.62684 , Temperature = 20.7377
Bag = 6 , Depth = 1840 , Pressure = 2.60842 , Temperature = 21.1285
Bag = 7 , Depth = 1851 , Pressure = 2.62444 , Temperature = 20.9331
Bag = 8 , Depth = 1847 , Pressure = 2.61851 , Temperature = 21.5193
Bag = 9 , Depth = 1853 , Pressure = 2.62675 , Temperature = 24.3527
Bag = 10 , Depth = 1850 , Pressure = 2.62211 , Temperature = 20.9331
Bag = 11 , Depth = 1844 , Pressure = 2.61406 , Temperature = 20.9331
Bag = 12 , Depth = 1846 , Pressure = 2.61681 , Temperature = 20.7377
Bag = 13 , Depth = 1849 , Pressure = 2.62074 , Temperature = 20.8354
Bag = 14 , Depth = 1831 , Pressure = 2.59564 , Temperature = 20.4446
Bag = 15 , Depth = 1848 , Pressure = 2.61995 , Temperature = 20.7377
Bag = 16 , Depth = 1847 , Pressure = 2.61805 , Temperature = 20.9331
Bag = 17 , Depth = 1847 , Pressure = 2.61784 , Temperature = 20.2491
Bag = 18 , Depth = 1834 , Pressure = 2.59966 , Temperature = 21.0308
Bag = 19 , Depth = 1832 , Pressure = 2.59642 , Temperature = 21.3239
Bag = 20 , Depth = 1853 , Pressure = 2.62652 , Temperature = 21.8124
Bag = 21 , Depth = 1857 , Pressure = 2.63226 , Temperature = 20.9331
Bag = 22 , Depth = 1846 , Pressure = 2.61656 , Temperature = 20.64
Bag = 23 , Depth = 1838 , Pressure = 2.60504 , Temperature = 20.8354
Bag = 24 , Depth = 1846 , Pressure = 2.61618 , Temperature = 22.2032
Bag = 25 , Depth = 1837 , Pressure = 2.60428 , Temperature = 20.8354
Bag = 26 , Depth = 1912 , Pressure = 2.71012 , Temperature = 21.2262
Bag = 27 , Depth = 1844 , Pressure = 2.61442 , Temperature = 21.7147
Bag = 28 , Depth = 1844 , Pressure = 2.61454 , Temperature = 21.7147
Bag = 29 , Depth = 1838 , Pressure = 2.60491 , Temperature = 21.1285
Bag = 30 , Depth = 1863 , Pressure = 2.64084 , Temperature = 21.0308
Bag = 31 , Depth = 1847 , Pressure = 2.61872 , Temperature = 21.5193
Bag = 32 , Depth = 1854 , Pressure = 2.62766 , Temperature = 21.617
Bag = 33 , Depth = 1839 , Pressure = 2.60706 , Temperature = 24.0596
Bag = 34 , Depth = 1845 , Pressure = 2.61488 , Temperature = 21.3239
Bag = 35 , Depth = 1861 , Pressure = 2.63756 , Temperature = 20.2491
Bag = 36 , Depth = 1858 , Pressure = 2.63352 , Temperature = 20.3468
Bag = 37 , Depth = 1833 , Pressure = 2.59768 , Temperature = 21.0308
Bag = 38 , Depth = 1854 , Pressure = 2.6285 , Temperature = 21.5193
Bag = 39 , Depth = 1850 , Pressure = 2.62284 , Temperature = 21.2262
Bag = 40 , Depth = 1831 , Pressure = 2.59562 , Temperature = 20.9331
Bag = 41 , Depth = 1835 , Pressure = 2.60124 , Temperature = 20.8354
Bag = 42 , Depth = 1836 , Pressure = 2.6021 , Temperature = 20.64
Bag = 43 , Depth = 1839 , Pressure = 2.60609 , Temperature = 21.3239
Bag = 44 , Depth = 1851 , Pressure = 2.62316 , Temperature = 20.4446
Bag = 45 , Depth = 1829 , Pressure = 2.59249 , Temperature = 20.2491
Bag = 46 , Depth = 1818 , Pressure = 2.57729 , Temperature = 20.64
Bag = 47 , Depth = 1848 , Pressure = 2.6198 , Temperature = 20.7377
Bag = 48 , Depth = 1846 , Pressure = 2.61704 , Temperature = 20.9331
Bag = 49 , Depth = 1836 , Pressure = 2.60307 , Temperature = 19.5652
Bag = 50 , Depth = 1844 , Pressure = 2.61429 , Temperature = 19.4675
0418162527
Bag = 1 , Depth = 1839 , Pressure = 2.6071 , Temperature = 18.979
Bag = 2 , Depth = 1837 , Pressure = 2.6046 , Temperature = 19.1744
