0418163350
Bag = 1 , Depth = 1839 , Pressure = 2.60681 , Temperature = 18.979
Bag = 2 , Depth = 1840 , Pressure = 2.6078 , Temperature = 19.1744
Bag = 3 , Depth = 1863 , Pressure = 2.64141 , Temperature = 21.3239
Bag = 4 , Depth = 1842 , Pressure = 2.61097 , Temperature = 21.5193
Bag = 5 , Depth = 1851 , Pressure = 2.62402 , Temperature = 20.7377
Bag = 6 , Depth = 1841 , Pressure = 2.61019 , Temperature = 21.1285
Bag = 7 , Depth = 1851 , Pressure = 2.62438 , Temperature = 20.9331
Bag = 8 , Depth = 1847 , Pressure = 2.61799 , Temperature = 21.5193
Bag = 9 , Depth = 1851 , Pressure = 2.62341 , Temperature = 24.3527
Bag = 10 , Depth = 1851 , Pressure = 2.62325 , Temperature = 20.9331
Bag = 11 , Depth = 1844 , Pressure = 2.61368 , Temperature = 20.9331
Bag = 12 , Depth = 1851 , Pressure = 2.62329 , Temperature = 20.8354
Bag = 13 , Depth = 1849 , Pressure = 2.62039 , Temperature = 20.9331
Bag = 14 , Depth = 1832 , Pressure = 2.59674 , Temperature = 20.4446
Bag = 15 , Depth = 1846 , Pressure = 2.61732 , Temperature = 20.7377
Bag = 16 , Depth = 1845 , Pressure = 2.61542 , Temperature = 21.0308
Bag = 17 , Depth = 1846 , Pressure = 2.61704 , Temperature = 20.2491
Bag = 18 , Depth = 1835 , Pressure = 2.60046 , Temperature = 21.0308
Bag = 19 , Depth = 1836 , Pressure = 2.6022 , Temperature = 21.2262
Bag = 20 , Depth = 1852 , Pressure = 2.62583 , Temperature = 21.8124
Bag = 21 , Depth = 1854 , Pressure = 2.62808 , Temperature = 20.9331
Bag = 22 , Depth = 1847 , Pressure = 2.61757 , Temperature = 20.64
Bag = 23 , Depth = 1841 , Pressure = 2.60946 , Temperature = 20.7377
Bag = 24 , Depth = 1847 , Pressure = 2.61755 , Temperature = 22.1055
Bag = 25 , Depth = 1837 , Pressure = 2.60422 , Temperature = 20.8354
Bag = 26 , Depth = 1914 , Pressure = 2.71275 , Temperature = 21.2262
Bag = 27 , Depth = 1846 , Pressure = 2.61694 , Temperature = 21.7147
Bag = 28 , Depth = 1845 , Pressure = 2.61477 , Temperature = 21.7147
Bag = 29 , Depth = 1840 , Pressure = 2.6078 , Temperature = 21.2262
Bag = 30 , Depth = 1860 , Pressure = 2.63636 , Temperature = 21.0308
Bag = 31 , Depth = 1849 , Pressure = 2.62095 , Temperature = 21.5193
Bag = 32 , Depth = 1856 , Pressure = 2.63081 , Temperature = 21.5193
Bag = 33 , Depth = 1837 , Pressure = 2.60401 , Temperature = 24.0596
Bag = 34 , Depth = 1845 , Pressure = 2.61482 , Temperature = 21.3239
Bag = 35 , Depth = 1861 , Pressure = 2.63802 , Temperature = 20.1514
Bag = 36 , Depth = 1852 , Pressure = 2.62505 , Temperature = 20.3468
Bag = 37 , Depth = 1834 , Pressure = 2.59918 , Temperature = 21.1285
Bag = 38 , Depth = 1856 , Pressure = 2.63062 , Temperature = 21.617
Bag = 39 , Depth = 1850 , Pressure = 2.62285 , Temperature = 21.2262
Bag = 40 , Depth = 1834 , Pressure = 2.59899 , Temperature = 20.9331
Bag = 41 , Depth = 1833 , Pressure = 2.59758 , Temperature = 20.8354
Bag = 42 , Depth = 1837 , Pressure = 2.60437 , Temperature = 20.64
Bag = 43 , Depth = 1838 , Pressure = 2.60576 , Temperature = 21.2262
Bag = 44 , Depth = 1849 , Pressure = 2.6203 , Temperature = 20.4446
Bag = 45 , Depth = 1832 , Pressure = 2.59684 , Temperature = 20.2491
Bag = 46 , Depth = 1816 , Pressure = 2.57425 , Temperature = 20.64
Bag = 47 , Depth = 1846 , Pressure = 2.61727 , Temperature = 20.7377
Bag = 48 , Depth = 1845 , Pressure = 2.61584 , Temperature = 20.9331
Bag = 49 , Depth = 1838 , Pressure = 2.60599 , Temperature = 19.4675
Bag = 50 , Depth = 1848 , Pressure = 2.61975 , Temperature = 19.3698
