0417195041
Bag = 7 , Depth = 1825.23 , Temperature = 20.5423
Bag = 8 , Depth = 1843.87 , Temperature = 21.0308
Bag = 9 , Depth = 1821.95 , Temperature = 24.3527
Bag = 10 , Depth = 1825.89 , Temperature = 20.7377
Bag = 11 , Depth = 1839.51 , Temperature = 20.4446
Bag = 12 , Depth = 1845.56 , Temperature = 20.2491
Bag = 13 , Depth = 1823.27 , Temperature = 20.7377
Bag = 14 , Depth = 1826.3 , Temperature = 20.3468
Bag = 15 , Depth = 1842.28 , Temperature = 20.3468
Bag = 16 , Depth = 1821.85 , Temperature = 20.4446
Bag = 17 , Depth = 1822.17 , Temperature = 20.3468
Bag = 18 , Depth = 1830.21 , Temperature = 21.1285
Bag = 19 , Depth = 1825.28 , Temperature = 21.0308
Bag = 20 , Depth = 1825.51 , Temperature = 21.3239
Bag = 21 , Depth = 1829.72 , Temperature = 21.2262
Bag = 22 , Depth = 1838.94 , Temperature = 20.4446
Bag = 23 , Depth = 1817.73 , Temperature = 20.7377
Bag = 24 , Depth = 1847.92 , Temperature = 21.7147
Bag = 25 , Depth = 1832.78 , Temperature = 20.5423
Bag = 26 , Depth = 1914.57 , Temperature = 20.8354
Bag = 27 , Depth = 1818.01 , Temperature = 21.2262
Bag = 28 , Depth = 1842.05 , Temperature = 21.2262
Bag = 29 , Depth = 1836.42 , Temperature = 20.7377
Bag = 30 , Depth = 1831.77 , Temperature = 20.64
Bag = 31 , Depth = 1820.93 , Temperature = 21.0308
Bag = 32 , Depth = 1822.43 , Temperature = 21.1285
Bag = 33 , Depth = 1830.06 , Temperature = 23.8642
Bag = 34 , Depth = 1840.46 , Temperature = 20.8354
Bag = 35 , Depth = 1832.05 , Temperature = 19.4675
Bag = 36 , Depth = 1820.37 , Temperature = 19.7606
Bag = 37 , Depth = 1827.12 , Temperature = 20.7377
Bag = 38 , Depth = 1820.86 , Temperature = 21.1285
Bag = 39 , Depth = 1819.03 , Temperature = 20.64
Bag = 40 , Depth = 1832.12 , Temperature = 20.3859
Bag = 41 , Depth = 1832.7 , Temperature = 20.3468
Bag = 42 , Depth = 1834.8 , Temperature = 20.1514
Bag = 43 , Depth = 1838.03 , Temperature = 20.64
Bag = 44 , Depth = 1824.53 , Temperature = 19.7606
Bag = 45 , Depth = 1823.79 , Temperature = 19.7606
Bag = 46 , Depth = 1831.09 , Temperature = 20.0537
Bag = 47 , Depth = 1820.93 , Temperature = 20.0537
Bag = 48 , Depth = 1845.37 , Temperature = 20.1514
Bag = 49 , Depth = 1821.63 , Temperature = 18.979
Bag = 50 , Depth = 1837.49 , Temperature = 18.8373
0417195101
Bag = 1 , Depth = 1833.6 , Temperature = 18.3928
Bag = 2 , Depth = 1837.2 , Temperature = 18.6859
Bag = 3 , Depth = 1832.12 , Temperature = 20.9331
Bag = 4 , Depth = 1841.78 , Temperature = 21.0308
Bag = 5 , Depth = 1832.82 , Temperature = 20.5423
Bag = 6 , Depth = 1842.84 , Temperature = 20.9331
Bag = 7 , Depth = 1825.47 , Temperature = 20.5423
Bag = 8 , Depth = 1846.37 , Temperature = 21.0308
Bag = 9 , Depth = 1821.39 , Temperature = 24.3527
Bag = 10 , Depth = 1826.49 , Temperature = 20.7377
Bag = 11 , Depth = 1838.29 , Temperature = 20.4446
Bag = 12 , Depth = 1845.51 , Temperature = 20.2491
Bag = 13 , Depth = 1822.71 , Temperature = 20.8354
Bag = 14 , Depth = 1826.34 , Temperature = 20.3468
Bag = 15 , Depth = 1843.37 , Temperature = 20.3468
Bag = 16 , Depth = 1821.87 , Temperature = 20.4446
Bag = 17 , Depth = 1822.2 , Temperature = 20.3468
Bag = 18 , Depth = 1830.69 , Temperature = 21.2262
Bag = 19 , Depth = 1830.37 , Temperature = 21.0308
Bag = 20 , Depth = 1828.62 , Temperature = 21.4216
Bag = 21 , Depth = 1828.07 , Temperature = 21.2262
Bag = 22 , Depth = 1842.24 , Temperature = 20.4446
Bag = 23 , Depth = 1820 , Temperature = 20.8354
Bag = 24 , Depth = 1849.53 , Temperature = 21.7147
Bag = 25 , Depth = 1831.4 , Temperature = 20.5423
Bag = 26 , Depth = 1914.77 , Temperature = 20.8354
Bag = 27 , Depth = 1817.49 , Temperature = 21.2262
Bag = 28 , Depth = 1841.63 , Temperature = 21.2262
Bag = 29 , Depth = 1836.3 , Temperature = 20.7377
Bag = 30 , Depth = 1830.07 , Temperature = 20.64
Bag = 31 , Depth = 1820.93 , Temperature = 21.0308
Bag = 32 , Depth = 1825.9 , Temperature = 21.1285
Bag = 33 , Depth = 1834.82 , Temperature = 23.8642
Bag = 34 , Depth = 1841.88 , Temperature = 20.8354
Bag = 35 , Depth = 1829.55 , Temperature = 19.4675
Bag = 36 , Depth = 1826.83 , Temperature = 19.7606
Bag = 37 , Depth = 1826.68 , Temperature = 20.7377
Bag = 38 , Depth = 1821.91 , Temperature = 21.1285
Bag = 39 , Depth = 1825.12 , Temperature = 20.64
Bag = 40 , Depth = 1828.44 , Temperature = 20.4446
Bag = 41 , Depth = 1835.08 , Temperature = 20.3468
Bag = 42 , Depth = 1831 , Temperature = 20.1514
Bag = 43 , Depth = 1837.94 , Temperature = 20.64
Bag = 44 , Depth = 1824.74 , Temperature = 19.7606
Bag = 45 , Depth = 1825.75 , Temperature = 19.7606
Bag = 46 , Depth = 1830.25 , Temperature = 20.0537
Bag = 47 , Depth = 1819.32 , Temperature = 20.0537
Bag = 48 , Depth = 1845.37 , Temperature = 20.1514
Bag = 49 , Depth = 1822.48 , Temperature = 18.979
Bag = 50 , Depth = 1836.24 , Temperature = 18.7836
0417195108
Bag = 1 , Depth = 1829.73 , Temperature = 18.3928
Bag = 2 , Depth = 1838.38 , Temperature = 18.6859
Bag = 3 , Depth = 1826.83 , Temperature = 20.9331
Bag = 4 , Depth = 1842.52 , Temperature = 20.9331
Bag = 5 , Depth = 1838.75 , Temperature = 20.5423
Bag = 6 , Depth = 1844.42 , Temperature = 20.9331
Bag = 7 , Depth = 1825.19 , Temperature = 20.5423
Bag = 8 , Depth = 1844.63 , Temperature = 21.0308
Bag = 9 , Depth = 1821.51 , Temperature = 24.3527
Bag = 10 , Depth = 1826.57 , Temperature = 20.7377
Bag = 11 , Depth = 1839.48 , Temperature = 20.4446
Bag = 12 , Depth = 1848.04 , Temperature = 20.2491
Bag = 13 , Depth = 1822.63 , Temperature = 20.8354
Bag = 14 , Depth = 1825.9 , Temperature = 20.3468
Bag = 15 , Depth = 1840.66 , Temperature = 20.3468
Bag = 16 , Depth = 1821.3 , Temperature = 20.3517
Bag = 17 , Depth = 1824.08 , Temperature = 20.3468
Bag = 18 , Depth = 1830.85 , Temperature = 21.2262
Bag = 19 , Depth = 1828.71 , Temperature = 21.0308
Bag = 20 , Depth = 1829.06 , Temperature = 21.3239
Bag = 21 , Depth = 1830.65 , Temperature = 21.3239
Bag = 22 , Depth = 1844.77 , Temperature = 20.4446
Bag = 23 , Depth = 1819.88 , Temperature = 20.8354
Bag = 24 , Depth = 1848.48 , Temperature = 21.8124
Bag = 25 , Depth = 1832.37 , Temperature = 20.5423
Bag = 26 , Depth = 1914.05 , Temperature = 20.8354
Bag = 27 , Depth = 1820.19 , Temperature = 21.2262
Bag = 28 , Depth = 1841.28 , Temperature = 21.2262
Bag = 29 , Depth = 1834.36 , Temperature = 20.7377
Bag = 30 , Depth = 1830.56 , Temperature = 20.64
Bag = 31 , Depth = 1821.25 , Temperature = 21.0308
Bag = 32 , Depth = 1825.17 , Temperature = 21.1285
Bag = 33 , Depth = 1834.9 , Temperature = 23.8642
Bag = 34 , Depth = 1842.24 , Temperature = 20.8354
Bag = 35 , Depth = 1830.96 , Temperature = 19.4675
Bag = 36 , Depth = 1823.64 , Temperature = 19.7606
Bag = 37 , Depth = 1823.25 , Temperature = 20.7377
Bag = 38 , Depth = 1824.14 , Temperature = 21.1285
Bag = 39 , Depth = 1823.54 , Temperature = 20.7377
Bag = 40 , Depth = 1832.32 , Temperature = 20.3468
Bag = 41 , Depth = 1834.43 , Temperature = 20.3468
Bag = 42 , Depth = 1831.12 , Temperature = 20.1514
Bag = 43 , Depth = 1836.44 , Temperature = 20.64
Bag = 44 , Depth = 1825.2 , Temperature = 19.7606
Bag = 45 , Depth = 1829.26 , Temperature = 19.7606
Bag = 46 , Depth = 1830.17 , Temperature = 20.0537
Bag = 47 , Depth = 1819.38 , Temperature = 20.0537
Bag = 48 , Depth = 1845.09 , Temperature = 20.1514
Bag = 49 , Depth = 1822.18 , Temperature = 18.979
Bag = 50 , Depth = 1836.56 , Temperature = 18.7836
0417195115
Bag = 1 , Depth = 1834.15 , Temperature = 18.3928
Bag = 2 , Depth = 1837.73 , Temperature = 18.6859
Bag = 3 , Depth = 1833.29 , Temperature = 20.8354
Bag = 4 , Depth = 1843.25 , Temperature = 21.0308
Bag = 5 , Depth = 1839.28 , Temperature = 20.5423
Bag = 6 , Depth = 1845.23 , Temperature = 20.8354
Bag = 7 , Depth = 1825.51 , Temperature = 20.4446
Bag = 8 , Depth = 1844.96 , Temperature = 21.0308
Bag = 9 , Depth = 1818.31 , Temperature = 24.3527
Bag = 10 , Depth = 1825.84 , Temperature = 20.7377
Bag = 11 , Depth = 1839.79 , Temperature = 20.4446
Bag = 12 , Depth = 1847.72 , Temperature = 20.2491
Bag = 13 , Depth = 1822.75 , Temperature = 20.7816
Bag = 14 , Depth = 1824.04 , Temperature = 20.3468
Bag = 15 , Depth = 1836.42 , Temperature = 20.3029
Bag = 16 , Depth = 1821.21 , Temperature = 20.4006
Bag = 17 , Depth = 1824.4 , Temperature = 20.4446
Bag = 18 , Depth = 1829.44 , Temperature = 21.2262
Bag = 19 , Depth = 1825.68 , Temperature = 21.0308
Bag = 20 , Depth = 1826.84 , Temperature = 21.3239
Bag = 21 , Depth = 1831.34 , Temperature = 21.3239
Bag = 22 , Depth = 1843.37 , Temperature = 20.4446
Bag = 23 , Depth = 1820.23 , Temperature = 20.8354
Bag = 24 , Depth = 1849.41 , Temperature = 21.8124
Bag = 25 , Depth = 1832.53 , Temperature = 20.5423
Bag = 26 , Depth = 1913.52 , Temperature = 20.8354
Bag = 27 , Depth = 1820.6 , Temperature = 21.2262
Bag = 28 , Depth = 1840.89 , Temperature = 21.2262
Bag = 29 , Depth = 1833.23 , Temperature = 20.7377
Bag = 30 , Depth = 1829.38 , Temperature = 20.64
Bag = 31 , Depth = 1817.3 , Temperature = 21.0308
Bag = 32 , Depth = 1827.07 , Temperature = 21.1285
Bag = 33 , Depth = 1835.31 , Temperature = 23.8642
Bag = 34 , Depth = 1838.04 , Temperature = 20.8354
Bag = 35 , Depth = 1832.01 , Temperature = 19.4675
Bag = 36 , Depth = 1826.38 , Temperature = 19.7606
Bag = 37 , Depth = 1826.26 , Temperature = 20.7377
Bag = 38 , Depth = 1821.47 , Temperature = 21.1285
Bag = 39 , Depth = 1824.63 , Temperature = 20.7377
Bag = 40 , Depth = 1832.12 , Temperature = 20.4446
Bag = 41 , Depth = 1830.23 , Temperature = 20.3468
Bag = 42 , Depth = 1834.19 , Temperature = 20.1514
Bag = 43 , Depth = 1838.54 , Temperature = 20.64
Bag = 44 , Depth = 1824.62 , Temperature = 19.7606
Bag = 45 , Depth = 1827 , Temperature = 19.7606
Bag = 46 , Depth = 1831.94 , Temperature = 20.0537
Bag = 47 , Depth = 1821.21 , Temperature = 20.0537
Bag = 48 , Depth = 1842.14 , Temperature = 20.1514
Bag = 49 , Depth = 1819.86 , Temperature = 18.979
Bag = 50 , Depth = 1836.03 , Temperature = 18.7836
0417195121
Bag = 1 , Depth = 1832.43 , Temperature = 18.3928
Bag = 2 , Depth = 1838.86 , Temperature = 18.5882
Bag = 3 , Depth = 1834.42 , Temperature = 20.9331
Bag = 4 , Depth = 1842.28 , Temperature = 21.0308
Bag = 5 , Depth = 1847.68 , Temperature = 20.5423
Bag = 6 , Depth = 1844.78 , Temperature = 20.8549
Bag = 7 , Depth = 1826.92 , Temperature = 20.5423
Bag = 8 , Depth = 1845.6 , Temperature = 21.0308
Bag = 9 , Depth = 1821.44 , Temperature = 24.3527
Bag = 10 , Depth = 1826.77 , Temperature = 20.7377
Bag = 11 , Depth = 1840.56 , Temperature = 20.4446
Bag = 12 , Depth = 1847.77 , Temperature = 20.2491
Bag = 13 , Depth = 1818.07 , Temperature = 20.8354
Bag = 14 , Depth = 1822.18 , Temperature = 20.3468
Bag = 15 , Depth = 1839.74 , Temperature = 20.3468
Bag = 16 , Depth = 1820.95 , Temperature = 20.4446
Bag = 17 , Depth = 1822.87 , Temperature = 20.4446
Bag = 18 , Depth = 1826.72 , Temperature = 21.2262
Bag = 19 , Depth = 1829.72 , Temperature = 21.0308
Bag = 20 , Depth = 1828.46 , Temperature = 21.4216
Bag = 21 , Depth = 1831.17 , Temperature = 21.3239
Bag = 22 , Depth = 1843.87 , Temperature = 20.4446
Bag = 23 , Depth = 1820.62 , Temperature = 20.8354
Bag = 24 , Depth = 1848.69 , Temperature = 21.8124
Bag = 25 , Depth = 1832.61 , Temperature = 20.5423
Bag = 26 , Depth = 1914.45 , Temperature = 20.8354
Bag = 27 , Depth = 1821.12 , Temperature = 21.2262
Bag = 28 , Depth = 1841.79 , Temperature = 21.2262
Bag = 29 , Depth = 1834.57 , Temperature = 20.7377
Bag = 30 , Depth = 1832.78 , Temperature = 20.64
Bag = 31 , Depth = 1821.17 , Temperature = 21.0308
Bag = 32 , Depth = 1826.46 , Temperature = 21.1285
Bag = 33 , Depth = 1833.18 , Temperature = 23.8642
Bag = 34 , Depth = 1837.19 , Temperature = 20.8354
Bag = 35 , Depth = 1828.74 , Temperature = 19.4675
Bag = 36 , Depth = 1825.33 , Temperature = 19.7606
Bag = 37 , Depth = 1827.96 , Temperature = 20.7377
Bag = 38 , Depth = 1824.58 , Temperature = 21.1285
Bag = 39 , Depth = 1821.13 , Temperature = 20.7377
Bag = 40 , Depth = 1830.74 , Temperature = 20.3468
Bag = 41 , Depth = 1832.49 , Temperature = 20.3468
Bag = 42 , Depth = 1834.15 , Temperature = 20.1514
Bag = 43 , Depth = 1838.25 , Temperature = 20.64
Bag = 44 , Depth = 1825.94 , Temperature = 19.7606
Bag = 45 , Depth = 1824.46 , Temperature = 19.7606
Bag = 46 , Depth = 1831.9 , Temperature = 20.0537
Bag = 47 , Depth = 1821.98 , Temperature = 20.0537
Bag = 48 , Depth = 1845.58 , Temperature = 20.1514
Bag = 49 , Depth = 1821.19 , Temperature = 18.979
Bag = 50 , Depth = 1835.44 , Temperature = 18.7836
0417195128
Bag = 1 , Depth = 1829.51 , Temperature = 18.3928
Bag = 2 , Depth = 1838.38 , Temperature = 18.5882
Bag = 3 , Depth = 1834.01 , Temperature = 20.8354
Bag = 4 , Depth = 1843.29 , Temperature = 20.9331
Bag = 5 , Depth = 1849.86 , Temperature = 20.5423
Bag = 6 , Depth = 1845.87 , Temperature = 20.9331
Bag = 7 , Depth = 1827.49 , Temperature = 20.5423
Bag = 8 , Depth = 1845.12 , Temperature = 21.0308
Bag = 9 , Depth = 1822.22 , Temperature = 24.3527
Bag = 10 , Depth = 1826.53 , Temperature = 20.7377
Bag = 11 , Depth = 1840.37 , Temperature = 20.4446
Bag = 12 , Depth = 1849.06 , Temperature = 20.2491
Bag = 13 , Depth = 1823.07 , Temperature = 20.8354
Bag = 14 , Depth = 1825.33 , Temperature = 20.3468
Bag = 15 , Depth = 1840.42 , Temperature = 20.3468
Bag = 16 , Depth = 1820.58 , Temperature = 20.3468
Bag = 17 , Depth = 1824.49 , Temperature = 20.4446
Bag = 18 , Depth = 1830 , Temperature = 21.2262
Bag = 19 , Depth = 1826.19 , Temperature = 21.0308
Bag = 20 , Depth = 1827.61 , Temperature = 21.3239
Bag = 21 , Depth = 1829.8 , Temperature = 21.3239
