0418161440
Bag = 31 , Depth = 1849 , Pressure = 2.62037 , Temperature = 21.5193
Bag = 32 , Depth = 1851 , Pressure = 2.62348 , Temperature = 21.617
Bag = 33 , Depth = 1838 , Pressure = 2.60555 , Temperature = 24.0596
Bag = 34 , Depth = 1846 , Pressure = 2.61608 , Temperature = 21.2262
Bag = 35 , Depth = 1861 , Pressure = 2.63727 , Temperature = 20.2491
Bag = 36 , Depth = 1857 , Pressure = 2.63186 , Temperature = 20.2491
Bag = 37 , Depth = 1833 , Pressure = 2.59852 , Temperature = 21.0308
Bag = 38 , Depth = 1852 , Pressure = 2.62581 , Temperature = 21.5193
Bag = 39 , Depth = 1852 , Pressure = 2.62528 , Temperature = 21.1285
Bag = 40 , Depth = 1833 , Pressure = 2.59802 , Temperature = 20.9331
Bag = 41 , Depth = 1836 , Pressure = 2.60239 , Temperature = 20.8354
Bag = 42 , Depth = 1836 , Pressure = 2.60281 , Temperature = 20.64
Bag = 43 , Depth = 1839 , Pressure = 2.60649 , Temperature = 21.2262
Bag = 44 , Depth = 1848 , Pressure = 2.62009 , Temperature = 20.4446
Bag = 45 , Depth = 1830 , Pressure = 2.59449 , Temperature = 20.2491
Bag = 46 , Depth = 1819 , Pressure = 2.57912 , Temperature = 20.64
Bag = 47 , Depth = 1845 , Pressure = 2.61526 , Temperature = 20.64
Bag = 48 , Depth = 1845 , Pressure = 2.61549 , Temperature = 20.8354
Bag = 49 , Depth = 1837 , Pressure = 2.6043 , Temperature = 19.5652
Bag = 50 , Depth = 1845 , Pressure = 2.61591 , Temperature = 19.4675
0418161450
Bag = 1 , Depth = 1841 , Pressure = 2.60922 , Temperature = 18.979
Bag = 2 , Depth = 1838 , Pressure = 2.60592 , Temperature = 19.1744
Bag = 3 , Depth = 1863 , Pressure = 2.64136 , Temperature = 21.2262
Bag = 4 , Depth = 1839 , Pressure = 2.60643 , Temperature = 21.4216
Bag = 5 , Depth = 1853 , Pressure = 2.6261 , Temperature = 20.7377
Bag = 6 , Depth = 1844 , Pressure = 2.61448 , Temperature = 21.1285
Bag = 7 , Depth = 1855 , Pressure = 2.62959 , Temperature = 20.9331
Bag = 8 , Depth = 1847 , Pressure = 2.61833 , Temperature = 21.5193
Bag = 9 , Depth = 1850 , Pressure = 2.62245 , Temperature = 24.3527
Bag = 10 , Depth = 1847 , Pressure = 2.61828 , Temperature = 20.9331
Bag = 11 , Depth = 1842 , Pressure = 2.61042 , Temperature = 20.9331
Bag = 12 , Depth = 1850 , Pressure = 2.62249 , Temperature = 20.64
Bag = 13 , Depth = 1849 , Pressure = 2.62097 , Temperature = 20.9331
Bag = 14 , Depth = 1833 , Pressure = 2.59766 , Temperature = 20.4446
Bag = 15 , Depth = 1846 , Pressure = 2.61715 , Temperature = 20.7377
Bag = 16 , Depth = 1845 , Pressure = 2.61582 , Temperature = 20.9331
Bag = 17 , Depth = 1850 , Pressure = 2.62184 , Temperature = 20.3468
Bag = 18 , Depth = 1836 , Pressure = 2.60264 , Temperature = 21.0308
Bag = 19 , Depth = 1832 , Pressure = 2.59691 , Temperature = 21.3239
Bag = 20 , Depth = 1853 , Pressure = 2.62594 , Temperature = 21.8124
Bag = 21 , Depth = 1854 , Pressure = 2.62745 , Temperature = 20.9331
Bag = 22 , Depth = 1845 , Pressure = 2.6149 , Temperature = 20.64
Bag = 23 , Depth = 1841 , Pressure = 2.61017 , Temperature = 20.8354
Bag = 24 , Depth = 1845 , Pressure = 2.61549 , Temperature = 22.2032
Bag = 25 , Depth = 1836 , Pressure = 2.60245 , Temperature = 20.8354
Bag = 26 , Depth = 1914 , Pressure = 2.71235 , Temperature = 21.2262
Bag = 27 , Depth = 1847 , Pressure = 2.61791 , Temperature = 21.7147
Bag = 28 , Depth = 1840 , Pressure = 2.60866 , Temperature = 21.617
Bag = 29 , Depth = 1835 , Pressure = 2.60069 , Temperature = 21.1285
Bag = 30 , Depth = 1862 , Pressure = 2.63907 , Temperature = 21.0308
Bag = 31 , Depth = 1844 , Pressure = 2.61345 , Temperature = 21.5193
Bag = 32 , Depth = 1856 , Pressure = 2.63018 , Temperature = 21.617
Bag = 33 , Depth = 1839 , Pressure = 2.60733 , Temperature = 24.0596
Bag = 34 , Depth = 1845 , Pressure = 2.61528 , Temperature = 21.2262
Bag = 35 , Depth = 1861 , Pressure = 2.63865 , Temperature = 20.2491
Bag = 36 , Depth = 1859 , Pressure = 2.63472 , Temperature = 20.2491
Bag = 37 , Depth = 1834 , Pressure = 2.60023 , Temperature = 21.0308
Bag = 38 , Depth = 1855 , Pressure = 2.62964 , Temperature = 21.5193
Bag = 39 , Depth = 1851 , Pressure = 2.62432 , Temperature = 21.1627
